TCS.NS,"	TCS"
INFY.NS,"	Infosys"
ITC.NS,"	ITC"
LICI.NS,"	Life Insurance"
HINDUNILVR.NS,"	Hind. Unilever"
HCLTECH.NS,"	HCL Technologies"
MARUTI.NS,"	Maruti Suzuki"
HAL.NS,"	Hind.Aeronautics"
BAJAJ-AUTO.NS,"	Bajaj Auto"
COALINDIA.NS,"	Coal India"
SIEMENS.NS,"	Siemens"
ASIANPAINT.NS,"	Asian Paints"
BEL.NS,"	Bharat Electron"
NESTLEIND.NS,"	Nestle India"
LTIM.NS,"	LTIMindtree"
PIDILITIND.NS,"	Pidilite Inds."
HYUNDAI.NS,Hyundai Motor I
ABB.NS,"	A B B"
EICHERMOT.NS,"	Eicher Motors"
CIPLA.NS,Cipla
MANKIND.NS,Mankind Pharma
MCDOWELL-N.NS,"	United Spirits"
DRREDDY.NS,"	Dr Reddy's Labs"
CGPOWER.NS,"	CG Power & Indu."
POLYCAB.NS,"	Polycab India"
OFSS.NS,"	Oracle Fin.Serv."
HAVELLS.NS,"	Havells India"
PERSISTENT.NS,"	Persistent Sys"
BOSCHLTD.NS,Bosch
ZYDUSLIFE.NS,Zydus Lifesci.
CUMMINSIND.NS,"	Cummins India"
HDFCAMC.NS,"	HDFC AMC"
DABUR.NS,"	Dabur India"
MAZDOCK.NS,"	Mazagon Dock"
ICICIGI.NS,"	ICICI Lombard"
SUZLON.NS,"	Suzlon Energy"
HEROMOTOCO.NS,"	Hero Motocorp"
MARICO.NS,"	Marico"
WAAREEENER.NS,Waaree Energies
COLPAL.NS,"	Colgate-Palmoliv"
TIINDIA.NS,"	Tube Investments"
COFORGE.NS,"	Coforge"
LLOYDSME.NS,"	Lloyds Metals"
ABBOTINDIA.NS,"	Abbott India"
IRCTC.NS,"	I R C T C"
SUPREMEINF.NS,"	Supreme Inds."
NMDC.NS,"	NMDC"
PIIND.NS,"	P I Industries"
COROMANDEL.NS,"	Coromandel Inter"
MPHASIS,Mphasis
PAGEIND.NS,"	Page Industries"
GVT&D.NS,GE Vernova T&D
SCHAEFFLER.NS,"	Schaeffler India"
PETRONET.NS,"	Petronet LNG"
BERGEPAINT.NS,"	Berger Paints"
LTTS.NS,"	L&T Technology"
PGHH.NS,"	P & G Hygiene"
NAM-INDIA.NS,"	Nippon Life Ind."
CRISIL.NS,"	CRISIL"
BLUESTARCO.NS,Blue Star
ASTRAL.NS,"	Astral"
TATAELXSI.NS,"	Tata Elxsi"
KEI.NS,"	KEI Industries"
BDL.NS,Bharat Dynamics
APARINDS.NS,"	Apar Inds."
COCHINSHIP.NS,Cochin Shipyard
KPITTECH.NS,"	KPIT Technologi."
GLAXO.NS,"	Glaxosmi. Pharma"
AJANTPHARM.NS,"	Ajanta Pharma"
SONACOMS.NS,"	Sona BLW Precis."
CDSL.NS,C D S L
TATATECH.NS,Tata Technolog.
DEEPAKNTR.NS,"	Deepak Nitrite"
3MINDIA.NS,"	3M India"
KPRMILL.NS,"	K P R Mill Ltd"
GUJGASLTD.NS,"	Gujarat Gas"
AIAENG.NS,"	AIA Engineering"
JYOTICNC.NS,Jyoti CNC Auto.
GILLETTE.NS,"	Gillette India"
AIIL.NS,"	Authum Invest"
IGL.NS,"	Indraprastha Gas"
JBCHEPHARM.NS,"	J B Chem & Pharm"
SUNTV.NS,"	Sun TV Network"
SUMICHEM.NS,"	Sumitomo Chemi."
GODFRYPHLP.NS,"	Godfrey Phillips"
KFINTECH.NS,"	KFin Technolog."
POLYMED.NS,Poly Medicure
EMAMILTD.NS,"	Emami"
"	EIHOTEL.NS","	EIH"
MOTHERSON.NS,"	Motherson Wiring"
NATCOPHARM.NS,Natco Pharma
LALPATHLAB.NS,"	Dr Lal Pathlabs"
BAYERCROP.NS,"	Bayer Crop Sci."
CAMS.NS,"	Cams Services"
NBCC.NS,"	NBCC"
CARBORUNIV.NS,Carborundum Uni.
PFIZER.NS,"	Pfizer"
BASF.NS,"	BASF India"
ABSLAMC.NS,Aditya AMC
NEWGEN.NS,"	Newgen Software"
TRITURBINE.NS,"	Triveni Turbine"
CONCORDBIO.NS,"	Concord Biotech"
TIMKEN.NS,"	Timken India"
ZFCVINDIA.NS,ZF Commercial
RATNAMANI.NS,"	Ratnamani Metals"
SKFINDIA.NS,"	SKF India"
ZENTEC.NS,Zen Technologies
GRINDWELL.NS,"	Grindwell Norton"
JWL.NS,Jupiter Wagons
CYIENT.NS,"	Cyient"
GSPL.NS,"	Guj.St.Petronet"
CHAMBLFERT.NS,Chambal Fert.
BIKAJI.NS,Bikaji Foods
CASTROLIND.NS,"	Castrol India"
CAPLIPOINT.NS,"	Caplin Point Lab"
TBOTEK.NS,"	TBO Tek"
GRSE.NS,Garden Reach Sh.
KAJARIACER.NS,"	Kajaria Ceramics"
IGIL.NS,International Ge
ACE.NS,Action Const.Eq.
NEULANDLAB.NS,"	Neuland Labs."
HBLENGINE.NS,"	HBL Engineering"
ZENSARTECH.NS,"	Zensar Tech."
UTIAMC.NS,"	UTI AMC"
ECLERX.NS,"	eClerx Services"
ANANDRATHI.NS,"	Anand Rathi Wea."
CELLO.NS,Cello World
KIRLOSBROS.NS,"	Kirl. Brothers"
JAIBALAJI.NS,Jai Balaji Inds.
RRKABEL.NS,R R Kabel
IEX.NS,"	Indian Energy Ex"
EIDPARRY.NS,"	EID Parry"
AKZOINDIA.NS,"	Akzo Nobel"
BSOFT.NS,"	Birlasoft Ltd"
CLEAN.NS,Clean Science
TITAGARH.NS,Titagarh Rail
PRAJIND.NS,"	Praj Industries"
JYOTHYLAB.NS,Jyothy Labs
INDGN.NS,"	Indegene"
ELECON.NS,Elecon Engg.Co
RITES.NS,Rites
SANOFI.NS,"	Sanofi India"
FINEORG.NS,"	Fine Organic"
INDIAMART.NS,Indiamart Inter.
MARKSANS.NS,"	Marksans Pharma"
KSB.NS,KSB
GPIL.NS,"	Godawari Power"
INGERRAND.NS,"	Ingersoll-Rand"
INTELLECT.NS,Intellect Design
RAILTEL.NS,"	Railtel Corpn."
SHAKTIPUMP.NS,Shakti Pumps
MGL.NS,"	Mahanagar Gas"
SPLPETRO.NS,"	Supreme Petroch."
GLS.NS,"	Glenmark Life"
UMESLTD.NS,"	Usha Martin"
KPIGREEN.NS,KPI Green Energy
GANESHHOUC.NS,Ganesh Housing
ENGINERSIN.NS,Engineers India
VOLTAMP.NS,Volt.Transform.
CERA.NS,"	Cera Sanitary."
IONEXCHANG.NS,"	ION Exchange"
MAHSEAMLES.NS,Mah. Seamless
GARFIBRES.NS,Garware Tech.
HAPPYFORGE.NS,"	Happy Forgings"
SHRIPISTON.NS,"	Shriram Pistons"
MANINFRA.NS,"	Man Infra"
VESUVIUS.NS,"	Vesuvius India"
TANLA.NS,"	Tanla Platforms"
ROUTE.NS,"	Route Mobile"
AVANTIFEED.NS,Avanti Feeds
GPPL.NS,"	Guj Pipavav Port"
PGHL.NS,"	P & G Health Ltd"
FORCEMOT.NS,"	Force Motors"
ACI.NS,Archean Chemical
CMSINFO.NS,CMS Info Systems
DODLA.NS,Dodla Dairy
GHCL.NS,"	GHCL"
AHLUCONT.NS,Ahluwalia Contr.
DHANUKA.NS,Dhanuka Agritech
"	NESCO.NS","	NESCO"
SHAREINDIA.NS,"	Share India Sec."
SURYAROSNI.NS,Surya Roshni
NIITMTS.NS,NIIT Learning
VSTIND.NS,VST Industries
SHARDAMOTR.NS,Sharda Motor
DBCORP.NS,D B Corp
STYRENIX.NS,Styrenix Perfor.
MSTCLTD.NS,MSTC
IMFA.NS,Indian Metals
KSCL.NS,Kaveri Seed Co.
LGBBROSLTD.NS,L G Balakrishnan
WSTCSTPAPR.NS,West Coast Paper
SANDESH.NS,Sandesh
SBIN.NS,"	St Bk of India"
HDFCBANK.NS,"	HDFC Bank"
ICICIBANK.NS,"	ICICI Bank"
AXISBANK.NS,"	Axis Bank"
KOTAKBANK.NS,"	Kotak Mah. Bank"
BANKBARODA.NS,"	Bank of Baroda"
CANBK.NS,"	Canara Bank"
UNIONBANK.NS,"	Union Bank (I)"
INDIANB.NS,"	Indian Bank"
INDUSINDBK.NS,"	IndusInd Bank"
IDBI.NS,"	IDBI Bank"
MAHABANK.NS,"	Bank of Maha"
FEDERALBNK.NS,"	Federal Bank"
BANDHANBNK.NS,Bandhan Bank
IDFCFIRSTB.NS,"	IDFC First Bank"
J&KBANK.NS,"	J & K Bank"
AUBANK.NS,"	AU Small Finance"
KARURVYSYA.NS,"	Karur Vysya Bank"
KTKBANK.NS,"	Karnataka Bank"
SOUTHBANK.NS,"	South Ind.Bank"
UJJIVANSFB.NS,"	Ujjivan Small"
TMB.NS,T N Merc. Bank
CUB.NS,"	City Union Bank"
TVSHLTD.NS,TVS Holdings
CREDITACC.NS,"	CreditAcc. Gram."
BENGALASM.BO,Bengal & Assam
RECLTD.NS,"	REC Ltd"
BAJFINANCE.NS,"	Bajaj Finance"
SBICARD.NS,"	SBI Cards"
PFC.NS,"	Power Fin.Corpn."
MANAPPURAM.NS,"	Manappuram Fin."
CHOLAFIN.NS,"	Cholaman.Inv.&Fn"
CHOLAHLDNG.NS,"	Chola Financial"
MUTHOOTFIN.NS,"	Muthoot Finance"
IIFL.NS,"	IIFL Finance"
IREDA.NS,"	Indian Renewable"
LICHSGFIN.NS,"	LIC Housing Fin."
SHRIRAMFIN.NS,"	Shriram Finance"
BAJAJFINSV.NS,"	Bajaj Finserv"
BAJAJHFL.NS,Bajaj Housing
BAJAJHLDNG.NS,"	Bajaj Holdings"
SUNDARMFIN.NS,"	Sundaram Finance"
ABCAPITAL.NS,"	Aditya Birla Cap"
KAMAHOLD.BO,Kama Holdings
IRFC.NS,"	I R F C"
HUDCO.NS,"	H U D C O"
PNBHOUSING.NS,"	PNB Housing"
L&TFH.NS,"	L&T Finance Ltd"
M&MFIN.NS,"	M & M Fin. Serv."
JIOFIN.NS,"	Jio Financial"
